ztf_id,label,redshift,total_span,n_detections,g_peak,g_duration,g_nobs,g_wmean,g_rise,g_time_to_peak,g_fall,g_stability,g_skew,g_kurt,g_asymmetry,r_peak,r_duration,r_nobs,r_wmean,r_rise,r_time_to_peak,r_fall,r_stability,r_skew,r_kurt,r_asymmetry,peak_color,duration_ratio,abs_mag_g
ZTF19aapuohr,SN Ia,0.04,55.9163194000721,11,17.754215,41.00417819991708,4,18.802702500000002,0.0,0.0,-17.83689679608818,0.934295,0.5740936630132278,-1.2716970618368737,0.0,17.804909,55.9163194000721,7,18.729229571428572,54.30076947255862,8.955069400370121,-12.20210223956533,0.44421683333333384,-0.4851293955724214,-1.2838643956796614,0.19069060982037214,-0.05069400000000002,0.7333132552330368,-18.416201030166842
ZTF19aapfktd,SN Ia,0.09,58.91854159999639,14,18.210987,55.91888889996335,7,19.139045,25.602783515418732,14.916527699679136,-11.442708810998992,0.6627385000000002,0.6273778515952518,-0.8131460317144956,0.36379679762383393,18.360853,55.93886570027098,7,19.231533142857145,19.756667718083516,11.998796300031245,-8.115243063986938,0.4158076666666677,-0.06529130509908335,-1.4604499391413979,0.27307185591212974,-0.1498659999999994,0.999642881562621,-19.720341620723655
ZTF19aaozsuh,SN IIn,0.057,73.87042819987983,44,17.465656,61.871886500157416,23,18.338893,32.99069434467614,15.976573999971151,-19.969702322335163,0.1489761818181823,0.48751593746896943,-1.3393304364057124,0.3481090579763742,17.416183,72.91623839968815,21,18.224014809523812,29.762532484714253,15.083078699652106,-17.244913228561504,0.1686389499999999,0.7744496599268738,-0.36143336920278646,0.26080329654965584,0.04947299999999899,0.8485337129023105,-19.47383435188949
ZTF19aarfyvc,SN Ic,0.09,63.8433333998546,22,18.872217,34.80344909988344,7,19.57365885714286,2.685430539055693,9.863611100241542,-8.540872495525111,0.27147566666666734,-0.027052957523843065,-1.660110964441008,0.3954961977051804,18.63166,63.8433333998546,15,19.3342308,7.657048194245507,22.9320022999309,-6.784307861277941,0.18937292857142854,0.2424708451518009,-1.1788613340965148,0.5605293615091802,0.24055699999999902,0.5451383448590844,-19.059111620723655
ZTF19aaptzar,SN Ia,0.02544,56.036886600311846,12,16.796118,27.94387729978189,3,17.534076,213.0049383918615,6.953634199686348,-38.50995261803484,1.1069370000000003,0.3082143925404275,-1.4999999999999976,0.3312793551997832,16.467546,56.036886600311846,9,17.473203555555553,124.28166797875221,17.074317200109363,-54.23298541113694,0.46273987500000047,-0.08986951123667063,-1.5648912065364597,0.43822359415600115,0.3285720000000012,0.49866934077002023,-18.391583608408908
ZTF19aapszzy,SN Ia,0.07,57.8304397999309,17,17.87568,26.870428199879825,5,18.409399200000003,34.115935127068795,7.03000000026077,-27.51460529847751,0.5131717500000006,1.0355301555150949,-0.34843542126943916,0.35432703011902483,17.950033,50.96449070004746,12,18.867091666666667,0.0,0.0,-10.970356955336673,0.19192009090909032,0.41252849020579574,-1.4263874524861853,0.0,-0.07435300000000211,0.5272382364816764,-19.509926273598314
ZTF19aapnzde,SN Ia,0.07087,54.92907400010154,15,18.241152,29.879085700027645,5,18.7230872,24.30595998303114,10.058599600102752,-16.271831220328842,0.4555327499999997,0.34683301695464963,-1.2234860656372761,0.5074850106799786,18.360199,54.92907400010154,10,19.182581,32.484127708882035,6.953946700319648,-7.639432211871164,0.3190477777777766,0.23892484771360603,-1.1256777067639407,0.14494899944436965,-0.1190470000000019,0.5439575715398445,-19.17127623733461
ZTF19aapocyd,SN Ia,0.06,57.89981479989365,20,17.83416,54.796342599671334,6,19.1398075,36.014701440480124,10.02210639975965,-15.349430076802248,0.7399993999999992,0.4085227867453015,-1.278122086032259,0.22383645708688646,17.931911,57.89981479989365,14,18.634672357142858,37.13477132748279,10.01590280001983,-11.607881854618428,0.22381992307692264,0.6133568887045685,-0.41067141361891757,0.20917052057163216,-0.09775099999999881,0.9463992724165327,-19.216712325445247
ZTF19aaoxvfe,SN Ib,0.0364,31.97123849997297,19,19.499647,28.970752300228924,9,19.912108666666665,5.54634794055596,6.012893499806523,-4.99944511790428,0.20674637500000026,1.274857272829179,0.3000583169176654,0.2619100305511023,18.741459,31.9296875,10,19.177590100000003,12.117409193375032,14.036446699872613,-11.016890757946692,0.22962866666666748,0.3663717610048469,-0.8120450589013934,0.7844552508214545,0.7581880000000005,0.9073296536406416,-16.465975991772307
ZTF19aapcoqg,SN Ia,0.08264,27.96743049984798,12,18.622004,21.00907399971038,7,18.83684057142857,8.970157358167663,9.968414300121367,-14.790477349069672,0.16353249999999994,0.9405899670572203,-0.26620884773199416,0.9028821258291694,18.649687,25.00019669998437,5,19.010234,4.383314116737504,6.983750000130385,-9.640603175752512,0.2136490000000002,0.27289312715684816,-1.7578006021603274,0.3876319296738454,-0.02768299999999968,0.840356348065194,-19.12406361608485
ZTF19aaptwpu,SN Ia,0.07,62.0392708000727,14,18.23191,18.940011499915272,5,18.555943,26.010109097037848,11.0183564000763,-15.013849777226614,0.29644775000000045,1.0458725507833624,-0.24506858061132375,1.3909159463784628,18.369455,62.0392708000727,9,19.308266333333332,20.365232359296687,17.08806709991768,-7.61186402142704,0.43879250000000036,-0.18085582023304725,-1.7214143880598112,0.38014704153203244,-0.13754499999999936,0.30529068532980047,-19.153696273598314
ZTF19aaputrv,SN Ia-pec,0.03499,33.938703699968755,15,18.990969,15.940138900186867,6,19.251824,13.039705235711589,6.934537100140005,-9.976521877922517,0.19102000000000033,0.0004956315912829825,-1.298524876550434,0.7700248416606563,18.545425,33.890092599671334,9,18.804700222222223,19.7732732247495,10.014826399739832,-7.202268838888781,0.18046949999999962,0.8894211654020692,-0.6647373572794391,0.4194644916574193,0.44554399999999816,0.4703480479820658,-16.88886678594156
ZTF19aaqdkrm,SN II,0.03422,83.86085649998859,38,17.975695,74.77140039997175,15,19.04080486666667,0.0,0.0,-7.741566988141563,0.17912349999999982,0.1309549552453531,-0.494246780268651,0.0,18.039404,83.86085649998859,23,18.629868782608696,34.873871617130405,6.985636499710381,-5.977718653615818,0.10476122727272706,0.6512699656512019,-0.14299773501978486,0.09086980823840375,-0.06370899999999935,0.8916126488641567,-17.855821099552436
ZTF19aardunx,SN Ia,0.04301,85.81597220012918,25,17.871952,64.75555560039356,8,19.515790125,57.0847576252071,5.006678299978375,-11.270956482374089,0.5401922857142856,-0.05884743832408,-1.7459571710659154,0.08379535358974159,17.71393,85.81597220012918,17,19.074664,38.913955440837356,19.001006899867207,-11.085590783032863,0.32083975,-0.17905196114675828,-1.459703391339609,0.2843825004544709,0.158021999999999,0.754586284350177,-18.45601128629749
ZTF19aaqhelq,SN Ia,0.0566,21.00637729978189,11,17.695736,21.00637729978189,7,18.052242142857143,52.84410107068965,6.100601899903268,-32.060480536551836,0.24197249999999984,0.6130436482193428,-0.7270689096772553,0.4092777286817931,17.820992,12.985011599957943,4,17.931154499999998,28.380426668348854,4.078634299803525,-3.155082372255871,0.09624066666666664,-0.03288746094991906,-1.8412947561980872,0.45794537580760364,-0.12525600000000026,1.6177403568780737,-19.228462229468388
ZTF19aaqxosb,SN II,0.01931,100.81540509965271,40,18.367285,97.94273149967194,21,19.315119714285714,0.0,0.0,-3.656990420074953,0.1126597499999999,-0.42940409841102023,-0.890463819310332,0.0,18.044897,90.85796299995854,19,18.44308484210526,28.05681368209292,5.972661999985576,-3.6307972632749266,0.08574883333333341,-0.4832266159916166,0.25073377141798225,0.07036155765045209,0.3223880000000001,1.0779763079182902,-16.221742442424006
ZTF19aaraxhh,SN Ia,0.04129,49.99814820010215,29,18.128685,37.06331009976566,16,18.97472475,26.061029815930137,10.225786999799311,-18.4223113365898,0.20941479999999993,0.8554217233368647,-0.6015145224319038,0.38102573630619935,17.87587,49.99814820010215,13,18.700346615384614,39.362127606366606,13.941342600155622,-15.010891077637488,0.2948741666666675,-0.02377016496278044,-1.5347208798665706,0.3866494096797165,0.2528150000000018,0.7412936565456625,-18.11065548790054
ZTF19aarinmw,SN Ia,0.05,57.81285879993811,14,17.746426,42.79152779979631,7,18.726991857142856,40.98557504530519,13.996932900045067,-24.50338383422464,0.6221488333333335,0.44035425004753576,-1.2168051471225971,0.4860958436392514,17.684744,53.90078700007871,7,18.486843,29.22259741417633,10.007314799819142,-15.191332283420747,0.35985866666666705,0.2511408768383095,-0.8795930543202024,0.22799095852252863,0.061682000000001125,0.7938943043583728,-18.908540095207123
ZTF19aarfnto,SN Ia,0.08523,25.80053239967674,13,18.817196,13.958923599682748,4,19.022930249999998,13.0260366428224,7.814953699707985,-11.545754569566308,0.2504113333333346,0.21787350552562315,-1.5819736818316472,1.27197135190068,18.94189,24.914039299823344,9,19.336741555555555,19.812692057687517,2.951770800165832,-6.1393386306820625,0.15545599999999915,0.046947369376557226,-1.6709932959682088,0.13440190844638217,-0.12469400000000164,0.5602834382532954,-18.995882515740018
ZTF19aarfksi,SN Ia,0.0798,59.90730320010334,20,18.340218,37.02454870007932,9,19.142203444444444,6.264575147276303,5.020277800038457,-11.923919677058207,0.25295762499999963,0.4013597541040918,-1.3967896989145707,0.15686274546663853,18.471699,59.90730320010334,11,19.19614681818182,20.810391037302015,12.927314799744636,-6.805407882666852,0.28751859999999957,0.04458895305485104,-1.2103974675266846,0.27516641105952105,-0.13148100000000085,0.6180306360379689,-19.329912530280673
ZTF19aarflsx,SN Ia,0.08,48.93214130029082,13,18.844774,14.898564899805933,5,19.0606786,26.07370417572518,2.916620399802923,-8.177607095624612,0.1946287499999988,0.13965788276429547,-1.2902420326888833,0.24341795272062816,18.75199,48.93214130029082,8,19.23544275,12.441465132691535,12.961493100039661,-6.55469976252287,0.3240708571428575,1.0179993269977539,0.12058908883362207,0.3603352663505563,0.09278400000000175,0.30447400223863463,-18.830792008486746
ZTF19aariwpf,SN Ia,0.072,42.88841440016404,20,18.683083,16.04233800014481,7,18.93711571428572,24.412563053385426,4.000694500282407,-11.47765186768376,0.16342050000000027,0.3152571229374925,-1.5334638968194982,0.3322382447485779,18.66457,42.88841440016404,13,19.31677546153846,13.52312895460704,12.935532399918884,-8.640479888596897,0.24114033333333248,0.6929935500401182,-0.7806428109228074,0.43186269687881823,0.01851299999999867,0.37404828843668914,-18.763695555683373
