ztf_id,label,g_peak,g_duration,burst_ratio,g_rise,g_stability,r_peak,r_duration,r_rise,r_stability,peak_color,abs_mag_g
ZTF18abcfdzu,SN IIP,19.346085,296.20872690016404,0.9968911839512588,4.770086684267558,0.1112582258064516,18.7549,341.0155440000817,3.3351272201178186,0.11524412727272733,0.5911849999999994,-19.29858113856731
ZTF18aansqun,SN Ia,19.062687,16.983680500183254,0.9969815015821553,7.421825359576694,0.2887769999999996,18.747774,40.83903930010274,48.959091031410765,0.18493129999999985,0.31491300000000066,-17.975117247431807
ZTF18abeajml,SN II,17.877586,65.95004629995674,1.0,4.727863640221761,0.19696594444444393,17.882742,76.9065161999315,21.8337153735804,0.08516903125000097,-0.005155999999999494,-18.094589238275667
ZTF18abespgb,SN Ia,18.577085,10.009097200352699,1.0,0.0,99.0,18.193588,31.030104199890047,42.29045291524718,0.4535722,0.383497000000002,-18.077881095207122
ZTF18abesqnb,SN II,18.582113,24.846319399774075,1.0,9.502311858082367,99.0,18.674925,31.9632522999309,7.334855682780538,0.35062859999999885,-0.09281200000000212,-18.803493273598313
ZTF18abetehf,SN Ia,18.154612,37.944965300150216,0.8650373598527427,31.206275635713446,0.4700704444444443,18.271257,50.973587999586016,5.019331855270218,0.25690071428571465,-0.11664499999999833,-19.065723563178167
ZTF18abetewu,SN Ia,18.576574,30.95120370015502,0.8425992001560886,20.431638551860047,0.46540766666666694,18.546083,31.98436350002885,8.385605519377096,0.15863362500000067,0.030491000000001378,-19.015995699389443
ZTF18ablrljh,SN Ia,18.903112,41.03491900023073,0.9971013505842472,13.030767856101274,0.23509421052631577,18.856071,43.83462959993631,9.94836116176895,0.11336628571428596,0.04704100000000011,-19.122643341525524
ZTF18abeecwe,SN Ia,17.341581,65.99447919987142,0.9982207192061726,53.15607857745672,0.5210045999999995,17.229742,68.82944450015202,88.56645331987866,0.31625893333333316,0.1118389999999998,-18.82883503016684
ZTF18abfgygp,SN Ia,18.02126,59.003055499866605,0.02856704917396877,32.99089024992078,0.24416964999999974,18.175657,64.7882639002055,28.33342371834192,0.16179919230769207,-0.15439699999999945,-19.36434627359831
ZTF18abdkkwa,SN Ic,18.308111,82.81200229981914,0.036475568124710395,29.70396812140563,0.21240829411764686,18.097975,82.83516200026497,16.246030764697537,0.1734805625,0.21013599999999855,-16.868465799318297
ZTF18abfhryc,SN Ia,16.721933,72.90599530003965,0.9609510283107734,161.54489115280296,0.4275746999999999,16.764683,75.80870370008051,66.69439336705523,0.1376116956521737,-0.04275000000000162,-18.98419568518254
ZTF18abffyqp,SN II,18.138617,57.00499999988824,0.03703588572657393,0.0,0.4947567142857139,18.27068,78.89172449987382,2.7407536518814504,0.19052571428571444,-0.1320629999999987,-17.49922076125927
ZTF18abixkjh,SN Ia,18.042898,21.896400399971753,1.0,9.494007919546931,0.24948559999999986,18.104725,36.01966430013999,27.046435214029263,0.13639736363636376,-0.06182699999999741,-19.342708273598312
ZTF18aailmnv,SN Ia,18.1829,32.03703700006008,0.9787093214729239,40.62965866861607,0.2751884444444441,18.514769,48.86325230030343,19.88499280080413,0.20547078571428581,-0.3318690000000011,-19.492666008486747
ZTF18abgqkpc,SN Ia,18.901142,30.949340300168842,1.0,16.0063016684177,0.6613457499999997,19.095078,21.95929400017485,5.929241786800717,99.0,-0.19393600000000077,-19.42609285096178
ZTF18abfzhct,SN Ic,18.114376,56.892581100109965,0.02822159105880171,30.917835967236304,0.2903471538461538,17.883156,59.918171300087124,30.035062104674594,0.19600707142857157,0.23122000000000043,-18.05604003016684
ZTF18abfhaji,SN Ia,18.710464,28.96084489999339,1.0,1.9984365928458494,0.32322983333333255,19.04991,47.966944499872625,2.6047900932034445,0.20986077777777762,-0.3394459999999988,-19.220864620723653
ZTF18abfzixe,SN IIP,19.556831,2453.127384199761,0.9898929852472932,0.0,0.35039939999999986,18.777966,61.937523199710995,2.0068206459824083,0.10413092857142889,0.7788649999999997,-16.260679658738308
ZTF18abgmcmv,SN Ia-91T,17.028,75.81085640005767,0.033597597575833756,108.44960577249424,0.18437690322580644,16.372156,76.00077550020069,134.86260210538717,0.15753362068965504,0.6558439999999983,-17.4679747155421
ZTF18abdfydj,SN Ia,18.38193,48.96439820015803,0.9500850033243875,39.38143459213843,0.9975323333333334,18.61118,58.85423619998619,22.99081954820018,0.3702401666666664,-0.2292500000000004,-19.003676273598312
ZTF18abfzfcv,SN IIb,18.993534,59.99724529962987,0.9529368390404462,10.259488722810891,0.32567018181818175,18.663336,59.960393600165844,11.892259435008034,0.15040829629629643,0.3301979999999993,-17.065500056611082
ZTF18aawurud,SN Ia,17.963602,30.97715280018747,0.9989930871654609,51.613744371453095,0.4521737999999992,17.769,46.7704167002812,25.16405475772376,0.17353425000000033,0.19460200000000327,-18.69136409520712
